,Name,Link,Ratings,Duration,Year,Vote Count
0,1. The Shawshank Redemption,/title/tt0111161/?ref_=chttp_t_1,9.3,2h 22m,1994, (3M)
1,2. The Godfather,/title/tt0068646/?ref_=chttp_t_2,9.2,2h 55m,1972, (2.1M)
2,3. The Dark Knight,/title/tt0468569/?ref_=chttp_t_3,9.0,2h 32m,2008, (3M)
3,4. The Godfather Part II,/title/tt0071562/?ref_=chttp_t_4,9.0,3h 22m,1974, (1.4M)
4,5. 12 Angry Men,/title/tt0050083/?ref_=chttp_t_5,9.0,1h 36m,1957, (906K)
5,6. The Lord of the Rings: The Return of the King,/title/tt0167260/?ref_=chttp_t_6,9.0,3h 21m,2003, (2M)
6,7. Schindler's List,/title/tt0108052/?ref_=chttp_t_7,9.0,3h 15m,1993, (1.5M)
7,8. Pulp Fiction,/title/tt0110912/?ref_=chttp_t_8,8.9,2h 34m,1994, (2.3M)
8,9. The Lord of the Rings: The Fellowship of the Ring,/title/tt0120737/?ref_=chttp_t_9,8.9,2h 58m,2001, (2.1M)
9,"10. The Good, the Bad and the Ugly",/title/tt0060196/?ref_=chttp_t_10,8.8,2h 58m,1966, (840K)
10,11. Forrest Gump,/title/tt0109830/?ref_=chttp_t_11,8.8,2h 22m,1994, (2.3M)
11,12. The Lord of the Rings: The Two Towers,/title/tt0167261/?ref_=chttp_t_12,8.8,2h 59m,2002, (1.8M)
12,13. Fight Club,/title/tt0137523/?ref_=chttp_t_13,8.8,2h 19m,1999, (2.4M)
13,14. Inception,/title/tt1375666/?ref_=chttp_t_14,8.8,2h 28m,2010, (2.6M)
14,15. Star Wars: Episode V - The Empire Strikes Back,/title/tt0080684/?ref_=chttp_t_15,8.7,2h 4m,1980, (1.4M)
15,16. The Matrix,/title/tt0133093/?ref_=chttp_t_16,8.7,2h 16m,1999, (2.1M)
16,17. Goodfellas,/title/tt0099685/?ref_=chttp_t_17,8.7,2h 25m,1990, (1.3M)
17,18. One Flew Over the Cuckoo's Nest,/title/tt0073486/?ref_=chttp_t_18,8.7,2h 13m,1975, (1.1M)
18,19. Interstellar,/title/tt0816692/?ref_=chttp_t_19,8.7,2h 49m,2014, (2.3M)
19,20. Se7en,/title/tt0114369/?ref_=chttp_t_20,8.6,2h 7m,1995, (1.9M)
20,21. It's a Wonderful Life,/title/tt0038650/?ref_=chttp_t_21,8.6,2h 10m,1946, (522K)
21,22. Seven Samurai,/title/tt0047478/?ref_=chttp_t_22,8.6,3h 27m,1954, (379K)
22,23. The Silence of the Lambs,/title/tt0102926/?ref_=chttp_t_23,8.6,1h 58m,1991, (1.6M)
23,24. Saving Private Ryan,/title/tt0120815/?ref_=chttp_t_24,8.6,2h 49m,1998, (1.5M)
24,25. City of God,/title/tt0317248/?ref_=chttp_t_25,8.6,2h 10m,2002, (826K)
